"Depopulation programme by elites is in progress: laboratory engineered Ebola and HIV viruses, tested on unsuspecting African as vaccine!!!!",2
Why Are the Same People Who Failed at Science on Agent Orange in Charge of Vaccine Safety and Developmental Disorders at the CDC? • World Mercury Project,4
Back to the days before Spaniards brought life-saving smallpox vaccine to the Texas frontier.,3
I told you so... sorry. #vaccines are toxic,5
Vaccine injuries are #NotRare,2
"Today we remember Dr Albert Sabin -developer of the oral polio vaccine (OPV)

Thanks to Dr Sabin OPV has played an immense role in the fight to #endpolio

This clip explains why why we still need OPV to stop the virus wherever it is found!

 

#VaccinesWork",4
"The next award, the @NELFT_IPC award, is presented by @stephanie_dawe for the outstanding work of Sultana in doubling our flu vaccinations @NELFT #flufighters",1
Fever following men b vaccination - Dr Cameron from Health Protection Scotland now presenting,1
"Communities with access to vaccines are far less likely to suffer poverty, according to new research   #vaccineswork",1
"2+2=4
Vaccines work
Sick people don't get sick on purpose
Racism shapes society

""OMG quit being so SMUG""
--some libertarian in Slate",3
"Juan Enriquez the futurist has spoken about UNNATURAL SELECTION. All of the people that think this is a conspiracy theory need to get it in their heads. It isn't. 
Warning: EPA Approves Population Control Vaccine For Deer",3
LifeboatHQ: Personalized Cancer Vaccine Enhances Immune Response,1
"What's Better Than Curing Cancer? Preventing It. Guest post by @lymanbiopharma on rising incidence of HPV cancers, and ways to boost usage of the preventive vaccine we already have.",1
Wisconsin nursing home sued over flu vaccine requirement  via @mySA,1
"ALLONA LAHN

TAKING ON CRIMINALLY INSANE MEDICAL PROFESSION

VACCINE INJURY COVER-UP, IGNORING ALL THE CALLS FOR HELP AND SIGNS OF CORRUPTION AND CONFLICTS OF INTEREST.

PRIOR TO 1986 YOU COULD SUE THEM FOR MILLIONS
NOT ANY MORE",3
"A bibliometric analysis of systematic reviews on vaccines and immunisation: Influenza, human papillomavirus and pneumococcus were the most reviewed pathogens.",1
Super fired up about this. Two-thirds of cervical cancer incidences could be prevented. Spread the good word! #HPVAwarenessDay,5
Latest paper from EPIC @FrontVetScience: Assessing the Economic Impact of Vaccine Availability When Controlling Foot and Mouth Disease Outbreaks @RoslinInstitute @SRUC @HarrietAuty,1
"Prayers for this young man. 15 miles from ground zero, I posted a comment about ""flu vaccine"" this morning...",3
The Devastating Effects of HPV Vaccine – Health Freedom Idaho,4
UW scientists discuss Ebola vaccine research,1
"“Even with controversial modelling results indicating that the use of Dengvaxia in highly endemic settings could be beneficial at the population level,9 ethically no one should have been put under risk by receiving this vaccine.”",1
"The psychology of drug-pushing #vaccines zealots. Be wary #India of those who say they are there to help you, #hpv #vaxxed #vaccines Great Rann of Kutch! #gujarat #bhuj NO #vaccineswork",3
"Dr. Valdivia did not report the error to the Vaccine Adverse Events Reporting System, although she was required...",2
"...""the cumulative amount of the various components of the vaccines exceeds the allowed limit for the marketing authorization for the individual vaccine;...""
#EvilOverlords #BigPharma #schifforbrains #VaccinesKill #Autism #fake Data
#NWO #Globalist #Agenda2030 #SundayMorning",1
"@FoxNews  is VERY biased about some things I have spent LOTS of time studying--vaccinations, fluoride in water,  and #COS--any Article V legislation.   All are poison!",5
Ayyyeeee if you're over 7 hit us up for all your vaccination needs @…,3
"For me, the vaccine and glyphosate question is settled beyond doubt. We should focus more on effective ways to...",4
